Episode,Trust
0,0.5908
1,0.5908
2,0.5908
3,0.5908
4,0.5908
5,0.5908
6,0.5908
7,0.5908
8,0.5908
9,0.5908
10,0.5908
11,0.5908
12,0.5908
13,0.5908
14,0.5908
15,0.5908
16,0.5908
17,0.5908
18,0.5908
19,0.5908
20,0.5908
21,0.5908
22,0.5908
23,0.5908
24,0.5908
25,0.5908
26,0.5908
27,0.5908
28,0.5908
29,0.5908
30,0.5908
31,0.5908
32,0.5908
33,0.5908
34,0.5908
35,0.5908
36,0.5908
37,0.5908
38,0.5908
39,0.5908
40,0.5908
41,0.5908
42,0.5908
43,0.5908
44,0.5908
45,0.5908
46,0.5908
47,0.5908
48,0.5908
49,0.5908
50,0.5908
51,0.5908
52,0.5908
53,0.5908
54,0.5908
55,0.5908
56,0.5908
57,0.5908
58,0.5908
59,0.5908
60,0.5908
61,0.5908
62,0.5908
63,0.5908
64,0.5908
65,0.5908
66,0.5908
67,0.5908
68,0.5908
69,0.5908
70,0.5908
71,0.5908
72,0.5908
73,0.5908
74,0.5908
75,0.5908
76,0.5908
77,0.5908
78,0.5908
79,0.5908
80,0.5908
81,0.5908
82,0.5908
83,0.5908
84,0.5908
85,0.5908
86,0.5908
87,0.5908
88,0.5908
89,0.5908
90,0.5908
91,0.5908
92,0.5908
93,0.5908
94,0.5908
95,0.5908
96,0.5908
97,0.5908
98,0.5908
99,0.5908
100,0.5908
101,0.5908
102,0.5908
103,0.5908
104,0.5908
105,0.5908
106,0.5908
107,0.5908
108,0.5908
109,0.5908
110,0.5908
111,0.5908
112,0.5908
113,0.5908
114,0.5908
115,0.5908
116,0.5908
117,0.5908
118,0.5908
119,0.5908
120,0.5908
121,0.5908
122,0.5908
123,0.5908
124,0.5908
125,0.5908
126,0.5908
127,0.5908
128,0.5908
129,0.5908
130,0.5908
131,0.5908
132,0.5908
133,0.5908
134,0.5908
135,0.5908
136,0.5908
137,0.5908
138,0.5908
139,0.5908
140,0.5908
141,0.5908
142,0.5908
143,0.5908
144,0.5908
145,0.5908
146,0.5908
147,0.5908
148,0.5908
149,0.5908
150,0.5908
151,0.5908
152,0.5908
153,0.5908
154,0.5908
155,0.5908
156,0.5908
157,0.5908
158,0.5908
159,0.5908
160,0.5908
161,0.5908
162,0.5908
163,0.5908
164,0.5908
165,0.5908
166,0.5908
167,0.5908
168,0.5908
169,0.5908
170,0.5908
171,0.5908
172,0.5908
173,0.5908
174,0.5908
175,0.5908
176,0.5908
177,0.5908
178,0.5908
179,0.5908
180,0.5908
181,0.5908
182,0.5908
183,0.5908
184,0.5908
185,0.5908
186,0.5908
187,0.5908
188,0.5908
189,0.5908
190,0.5908
191,0.5908
192,0.5908
193,0.5908
194,0.5908
195,0.5908
196,0.5908
197,0.5908
198,0.5908
199,0.5908
200,0.5908
201,0.5908
202,0.5908
203,0.5908
204,0.5908
205,0.5908
206,0.5908
207,0.5908
208,0.5908
209,0.5908
210,0.5908
211,0.5908
212,0.5908
213,0.5908
214,0.5908
215,0.5908
216,0.5908
217,0.5908
218,0.5908
219,0.5908
220,0.5908
221,0.5908
222,0.5908
223,0.5908
224,0.5908
225,0.5908
226,0.5908
227,0.5908
228,0.5908
229,0.5908
230,0.5908
231,0.5908
232,0.5908
233,0.5908
234,0.5908
235,0.5908
236,0.5908
237,0.5908
238,0.5908
239,0.5908
240,0.5908
241,0.5908
242,0.5908
243,0.5908
244,0.5908
245,0.5908
246,0.5908
247,0.5908
248,0.5908
249,0.5908
250,0.5908
251,0.5908
252,0.5908
253,0.5908
254,0.5908
255,0.5908
256,0.5908
257,0.5908
258,0.5908
259,0.5908
260,0.5908
261,0.5908
262,0.5908
263,0.5908
264,0.5908
265,0.5908
266,0.5908
267,0.5908
268,0.5908
269,0.5908
270,0.5908
271,0.5908
272,0.5908
273,0.5908
274,0.5908
275,0.5908
276,0.5908
277,0.5908
278,0.5908
279,0.5908
280,0.5908
281,0.5908
282,0.5908
283,0.5908
284,0.5908
285,0.5908
286,0.5908
287,0.5908
288,0.5908
289,0.5908
290,0.5908
291,0.5908
292,0.5908
293,0.5908
294,0.5908
295,0.5908
296,0.5908
297,0.5908
298,0.5908
299,0.5908
