scenario_id,agent_id,complexity,offload_choice,layer,battery_consumption,latency_ms,overload_prob,success,cpu_usage,bw_0,bw_1,bw_2
0,0,medium,1,Edge,0.0405,48.0,0.15,1.0,0.7,0.4,0.4,0.2
0,1,medium,1,Edge,0.0405,48.0,0.15,1.0,0.7,0.4,0.4,0.2
0,2,medium,2,Fog,0.054000000000000006,80.0,0.15,1.0,0.7,0.4,0.4,0.2
0,3,medium,2,Fog,0.054000000000000006,80.0,0.15,1.0,0.7,0.4,0.4,0.2
0,4,medium,2,Fog,0.054000000000000006,80.0,0.15,1.0,0.7,0.4,0.4,0.2
1,0,easy,4,Reject,0.0115,0.0,0.0,0.0,0.3,0.6,0.2,0.2
1,1,easy,1,Edge,0.034499999999999996,29.4,0.05,1.0,0.3,0.6,0.2,0.2
1,2,easy,1,Edge,0.034499999999999996,29.4,0.05,1.0,0.3,0.6,0.2,0.2
1,3,easy,2,Fog,0.046,49.0,0.05,1.0,0.3,0.6,0.2,0.2
1,4,easy,2,Fog,0.046,49.0,0.05,1.0,0.3,0.6,0.2,0.2
2,0,hard,2,Fog,0.046,105.0,0.3,1.0,0.3,0.6,0.2,0.2
2,1,hard,1,Edge,0.034499999999999996,62.99999999999999,0.3,1.0,0.3,0.6,0.2,0.2
2,2,hard,4,Reject,0.0115,0.0,0.0,0.0,0.3,0.6,0.2,0.2
2,3,hard,1,Edge,0.034499999999999996,62.99999999999999,0.3,1.0,0.3,0.6,0.2,0.2
2,4,hard,2,Fog,0.046,105.0,0.3,1.0,0.3,0.6,0.2,0.2
3,0,hard,2,Fog,0.046,105.0,0.3,1.0,0.3,0.6,0.2,0.2
3,1,hard,2,Fog,0.046,105.0,0.3,1.0,0.3,0.6,0.2,0.2
3,2,hard,2,Fog,0.046,105.0,0.3,1.0,0.3,0.6,0.2,0.2
3,3,hard,1,Edge,0.034499999999999996,62.99999999999999,0.3,1.0,0.3,0.6,0.2,0.2
3,4,hard,2,Fog,0.046,105.0,0.3,1.0,0.3,0.6,0.2,0.2
4,0,easy,2,Fog,0.054000000000000006,49.0,0.05,1.0,0.7,0.6,0.2,0.2
4,1,easy,2,Fog,0.054000000000000006,49.0,0.05,1.0,0.7,0.6,0.2,0.2
4,2,easy,1,Edge,0.0405,29.4,0.05,1.0,0.7,0.6,0.2,0.2
4,3,easy,2,Fog,0.054000000000000006,49.0,0.05,1.0,0.7,0.6,0.2,0.2
