layer,complexity,battery_consumption_mean,battery_consumption_std,latency_ms_mean,latency_ms_std,overload_prob_mean,overload_prob_std,success_mean,success_sum,cpu_usage_mean,cpu_usage_std
Cloud,medium,0.092,,140.0,,0.105,,1.0,1.0,0.3,
Edge,easy,0.0359,0.0026,29.775,1.2085,0.05,0.0,1.0,56.0,0.3929,0.1704
Edge,hard,0.0359,0.0026,64.1489,3.0359,0.3,0.0,1.0,47.0,0.3936,0.1712
Edge,medium,0.0363,0.0027,42.9512,2.2049,0.15,0.0,1.0,82.0,0.4171,0.1831
Fog,easy,0.0481,0.0036,49.7975,2.2382,0.05,0.0,1.0,79.0,0.4063,0.1778
Fog,hard,0.0485,0.0037,106.3776,4.3542,0.3,0.0,1.0,98.0,0.4265,0.187
Fog,medium,0.0481,0.0036,71.4815,3.569,0.15,0.0,1.0,108.0,0.4074,0.1781
Local,hard,0.0625,0.0071,15.0,0.0,0.45,0.0,1.0,2.0,0.5,0.2828
Local,medium,0.0608,0.0058,10.0,0.0,0.225,0.0,1.0,3.0,0.4333,0.2309
Reject,easy,0.0117,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.1265
Reject,hard,0.012,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1852
Reject,medium,0.0118,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.3667,0.1633
