scenario_id,agent_id,complexity,offload_choice,layer,battery_consumption,latency_ms,overload_prob,success,cpu_usage,bw_0,bw_1,bw_2
0,0,medium,2,Fog,0.05,83.5,0.15,1.0,0.5,0.33,0.33,0.34
0,1,medium,2,Fog,0.05,83.5,0.15,1.0,0.5,0.33,0.33,0.34
0,2,medium,1,Edge,0.0375,50.099999999999994,0.15,1.0,0.5,0.33,0.33,0.34
0,3,medium,2,Fog,0.05,83.5,0.15,1.0,0.5,0.33,0.33,0.34
0,4,medium,1,Edge,0.0375,50.099999999999994,0.15,1.0,0.5,0.33,0.33,0.34
1,0,hard,2,Fog,0.05,125.25,0.3,1.0,0.5,0.33,0.33,0.34
1,1,hard,1,Edge,0.0375,75.14999999999999,0.3,1.0,0.5,0.33,0.33,0.34
1,2,hard,2,Fog,0.05,125.25,0.3,1.0,0.5,0.33,0.33,0.34
1,3,hard,1,Edge,0.0375,75.14999999999999,0.3,1.0,0.5,0.33,0.33,0.34
1,4,hard,2,Fog,0.05,125.25,0.3,1.0,0.5,0.33,0.33,0.34
2,0,medium,2,Fog,0.05,83.5,0.15,1.0,0.5,0.33,0.33,0.34
2,1,medium,1,Edge,0.0375,50.099999999999994,0.15,1.0,0.5,0.33,0.33,0.34
2,2,medium,2,Fog,0.05,83.5,0.15,1.0,0.5,0.33,0.33,0.34
2,3,medium,1,Edge,0.0375,50.099999999999994,0.15,1.0,0.5,0.33,0.33,0.34
2,4,medium,2,Fog,0.05,83.5,0.15,1.0,0.5,0.33,0.33,0.34
3,0,easy,2,Fog,0.05,58.449999999999996,0.05,1.0,0.5,0.33,0.33,0.34
3,1,easy,0,Local,0.0625,7.0,0.07500000000000001,1.0,0.5,0.33,0.33,0.34
3,2,easy,2,Fog,0.05,58.449999999999996,0.05,1.0,0.5,0.33,0.33,0.34
3,3,easy,1,Edge,0.0375,35.07,0.05,1.0,0.5,0.33,0.33,0.34
3,4,easy,2,Fog,0.05,58.449999999999996,0.05,1.0,0.5,0.33,0.33,0.34
4,0,medium,2,Fog,0.05,83.5,0.15,1.0,0.5,0.33,0.33,0.34
4,1,medium,2,Fog,0.05,83.5,0.15,1.0,0.5,0.33,0.33,0.34
4,2,medium,2,Fog,0.05,83.5,0.15,1.0,0.5,0.33,0.33,0.34
4,3,medium,2,Fog,0.05,83.5,0.15,1.0,0.5,0.33,0.33,0.34
4,4,medium,2,Fog,0.05,83.5,0.15,1.0,0.5,0.33,0.33,0.34
5,0,hard,2,Fog,0.05,125.25,0.3,1.0,0.5,0.33,0.33,0.34
5,1,hard,1,Edge,0.0375,75.14999999999999,0.3,1.0,0.5,0.33,0.33,0.34
5,2,hard,4,Reject,0.0125,0.0,0.0,0.0,0.5,0.33,0.33,0.34
5,3,hard,1,Edge,0.0375,75.14999999999999,0.3,1.0,0.5,0.33,0.33,0.34
5,4,hard,1,Edge,0.0375,75.14999999999999,0.3,1.0,0.5,0.33,0.33,0.34
6,0,medium,2,Fog,0.05,83.5,0.15,1.0,0.5,0.33,0.33,0.34
6,1,medium,2,Fog,0.05,83.5,0.15,1.0,0.5,0.33,0.33,0.34
6,2,medium,2,Fog,0.05,83.5,0.15,1.0,0.5,0.33,0.33,0.34
6,3,medium,2,Fog,0.05,83.5,0.15,1.0,0.5,0.33,0.33,0.34
6,4,medium,2,Fog,0.05,83.5,0.15,1.0,0.5,0.33,0.33,0.34
7,0,medium,2,Fog,0.05,83.5,0.15,1.0,0.5,0.33,0.33,0.34
7,1,medium,1,Edge,0.0375,50.099999999999994,0.15,1.0,0.5,0.33,0.33,0.34
7,2,medium,2,Fog,0.05,83.5,0.15,1.0,0.5,0.33,0.33,0.34
7,3,medium,2,Fog,0.05,83.5,0.15,1.0,0.5,0.33,0.33,0.34
7,4,medium,2,Fog,0.05,83.5,0.15,1.0,0.5,0.33,0.33,0.34
8,0,hard,2,Fog,0.05,125.25,0.3,1.0,0.5,0.33,0.33,0.34
8,1,hard,1,Edge,0.0375,75.14999999999999,0.3,1.0,0.5,0.33,0.33,0.34
8,2,hard,1,Edge,0.0375,75.14999999999999,0.3,1.0,0.5,0.33,0.33,0.34
8,3,hard,2,Fog,0.05,125.25,0.3,1.0,0.5,0.33,0.33,0.34
8,4,hard,2,Fog,0.05,125.25,0.3,1.0,0.5,0.33,0.33,0.34
9,0,easy,2,Fog,0.05,58.449999999999996,0.05,1.0,0.5,0.33,0.33,0.34
9,1,easy,2,Fog,0.05,58.449999999999996,0.05,1.0,0.5,0.33,0.33,0.34
9,2,easy,2,Fog,0.05,58.449999999999996,0.05,1.0,0.5,0.33,0.33,0.34
9,3,easy,1,Edge,0.0375,35.07,0.05,1.0,0.5,0.33,0.33,0.34
9,4,easy,4,Reject,0.0125,0.0,0.0,0.0,0.5,0.33,0.33,0.34
10,0,hard,2,Fog,0.05,125.25,0.3,1.0,0.5,0.33,0.33,0.34
10,1,hard,1,Edge,0.0375,75.14999999999999,0.3,1.0,0.5,0.33,0.33,0.34
10,2,hard,2,Fog,0.05,125.25,0.3,1.0,0.5,0.33,0.33,0.34
10,3,hard,2,Fog,0.05,125.25,0.3,1.0,0.5,0.33,0.33,0.34
10,4,hard,2,Fog,0.05,125.25,0.3,1.0,0.5,0.33,0.33,0.34
11,0,easy,1,Edge,0.0375,35.07,0.05,1.0,0.5,0.33,0.33,0.34
11,1,easy,2,Fog,0.05,58.449999999999996,0.05,1.0,0.5,0.33,0.33,0.34
11,2,easy,2,Fog,0.05,58.449999999999996,0.05,1.0,0.5,0.33,0.33,0.34
11,3,easy,2,Fog,0.05,58.449999999999996,0.05,1.0,0.5,0.33,0.33,0.34
11,4,easy,1,Edge,0.0375,35.07,0.05,1.0,0.5,0.33,0.33,0.34
12,0,medium,2,Fog,0.05,83.5,0.15,1.0,0.5,0.33,0.33,0.34
12,1,medium,2,Fog,0.05,83.5,0.15,1.0,0.5,0.33,0.33,0.34
12,2,medium,1,Edge,0.0375,50.099999999999994,0.15,1.0,0.5,0.33,0.33,0.34
12,3,medium,1,Edge,0.0375,50.099999999999994,0.15,1.0,0.5,0.33,0.33,0.34
