layer,complexity,battery_consumption_mean,battery_consumption_std,latency_ms_mean,latency_ms_std,overload_prob_mean,overload_prob_std,success_mean,success_sum,cpu_usage_mean,cpu_usage_std
Cloud,easy,0.1,0.0,116.9,0.0,0.035,0.0,1.0,2.0,0.5,0.0
Cloud,medium,0.1,,167.0,,0.105,,1.0,1.0,0.5,
Edge,easy,0.0375,0.0,35.07,0.0,0.05,0.0,1.0,59.0,0.5,0.0
Edge,hard,0.0375,0.0,75.15,0.0,0.3,0.0,1.0,60.0,0.5,0.0
Edge,medium,0.0375,0.0,50.1,0.0,0.15,0.0,1.0,53.0,0.5,0.0
Fog,easy,0.05,0.0,58.45,0.0,0.05,0.0,1.0,125.0,0.5,0.0
Fog,hard,0.05,0.0,125.25,0.0,0.3,0.0,1.0,79.0,0.5,0.0
Fog,medium,0.05,0.0,83.5,0.0,0.15,0.0,1.0,88.0,0.5,0.0
Local,easy,0.0625,0.0,7.0,0.0,0.075,0.0,1.0,3.0,0.5,0.0
Local,hard,0.0625,0.0,15.0,0.0,0.45,0.0,1.0,3.0,0.5,0.0
Local,medium,0.0625,,10.0,,0.225,,1.0,1.0,0.5,
Reject,easy,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Reject,hard,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Reject,medium,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
