scenario_id,agent_id,complexity,offload_choice,layer,battery_consumption,latency_ms,overload_prob,success,cpu_usage,bw_0,bw_1,bw_2
0,0,medium,2,Fog,0.046,75.0,0.15,1.0,0.3,0.5,0.3,0.2
0,1,medium,1,Edge,0.034499999999999996,45.0,0.15,1.0,0.3,0.5,0.3,0.2
0,2,medium,1,Edge,0.034499999999999996,45.0,0.15,1.0,0.3,0.5,0.3,0.2
0,3,medium,1,Edge,0.034499999999999996,45.0,0.15,1.0,0.3,0.5,0.3,0.2
0,4,medium,2,Fog,0.046,75.0,0.15,1.0,0.3,0.5,0.3,0.2
1,0,medium,2,Fog,0.046,75.0,0.15,1.0,0.3,0.5,0.3,0.2
1,1,medium,2,Fog,0.046,75.0,0.15,1.0,0.3,0.5,0.3,0.2
1,2,medium,2,Fog,0.046,75.0,0.15,1.0,0.3,0.5,0.3,0.2
1,3,medium,1,Edge,0.034499999999999996,45.0,0.15,1.0,0.3,0.5,0.3,0.2
1,4,medium,2,Fog,0.046,75.0,0.15,1.0,0.3,0.5,0.3,0.2
2,0,hard,2,Fog,0.046,112.5,0.3,1.0,0.3,0.5,0.3,0.2
2,1,hard,1,Edge,0.034499999999999996,67.5,0.3,1.0,0.3,0.5,0.3,0.2
2,2,hard,2,Fog,0.046,112.5,0.3,1.0,0.3,0.5,0.3,0.2
2,3,hard,2,Fog,0.046,112.5,0.3,1.0,0.3,0.5,0.3,0.2
2,4,hard,2,Fog,0.046,112.5,0.3,1.0,0.3,0.5,0.3,0.2
3,0,easy,2,Fog,0.046,52.5,0.05,1.0,0.3,0.5,0.3,0.2
3,1,easy,1,Edge,0.034499999999999996,31.5,0.05,1.0,0.3,0.5,0.3,0.2
3,2,easy,2,Fog,0.046,52.5,0.05,1.0,0.3,0.5,0.3,0.2
3,3,easy,1,Edge,0.034499999999999996,31.5,0.05,1.0,0.3,0.5,0.3,0.2
3,4,easy,1,Edge,0.034499999999999996,31.5,0.05,1.0,0.3,0.5,0.3,0.2
4,0,easy,2,Fog,0.046,52.5,0.05,1.0,0.3,0.5,0.3,0.2
4,1,easy,1,Edge,0.034499999999999996,31.5,0.05,1.0,0.3,0.5,0.3,0.2
4,2,easy,2,Fog,0.046,52.5,0.05,1.0,0.3,0.5,0.3,0.2
4,3,easy,2,Fog,0.046,52.5,0.05,1.0,0.3,0.5,0.3,0.2
4,4,easy,4,Reject,0.0115,0.0,0.0,0.0,0.3,0.5,0.3,0.2
5,0,medium,2,Fog,0.046,75.0,0.15,1.0,0.3,0.5,0.3,0.2
5,1,medium,2,Fog,0.046,75.0,0.15,1.0,0.3,0.5,0.3,0.2
5,2,medium,1,Edge,0.034499999999999996,45.0,0.15,1.0,0.3,0.5,0.3,0.2
5,3,medium,2,Fog,0.046,75.0,0.15,1.0,0.3,0.5,0.3,0.2
5,4,medium,1,Edge,0.034499999999999996,45.0,0.15,1.0,0.3,0.5,0.3,0.2
6,0,hard,2,Fog,0.046,112.5,0.3,1.0,0.3,0.5,0.3,0.2
6,1,hard,2,Fog,0.046,112.5,0.3,1.0,0.3,0.5,0.3,0.2
6,2,hard,2,Fog,0.046,112.5,0.3,1.0,0.3,0.5,0.3,0.2
6,3,hard,2,Fog,0.046,112.5,0.3,1.0,0.3,0.5,0.3,0.2
6,4,hard,2,Fog,0.046,112.5,0.3,1.0,0.3,0.5,0.3,0.2
7,0,easy,2,Fog,0.046,52.5,0.05,1.0,0.3,0.5,0.3,0.2
7,1,easy,1,Edge,0.034499999999999996,31.5,0.05,1.0,0.3,0.5,0.3,0.2
7,2,easy,1,Edge,0.034499999999999996,31.5,0.05,1.0,0.3,0.5,0.3,0.2
7,3,easy,1,Edge,0.034499999999999996,31.5,0.05,1.0,0.3,0.5,0.3,0.2
7,4,easy,1,Edge,0.034499999999999996,31.5,0.05,1.0,0.3,0.5,0.3,0.2
8,0,medium,2,Fog,0.046,75.0,0.15,1.0,0.3,0.5,0.3,0.2
8,1,medium,2,Fog,0.046,75.0,0.15,1.0,0.3,0.5,0.3,0.2
8,2,medium,1,Edge,0.034499999999999996,45.0,0.15,1.0,0.3,0.5,0.3,0.2
8,3,medium,2,Fog,0.046,75.0,0.15,1.0,0.3,0.5,0.3,0.2
8,4,medium,2,Fog,0.046,75.0,0.15,1.0,0.3,0.5,0.3,0.2
9,0,easy,2,Fog,0.046,52.5,0.05,1.0,0.3,0.5,0.3,0.2
9,1,easy,2,Fog,0.046,52.5,0.05,1.0,0.3,0.5,0.3,0.2
9,2,easy,1,Edge,0.034499999999999996,31.5,0.05,1.0,0.3,0.5,0.3,0.2
9,3,easy,1,Edge,0.034499999999999996,31.5,0.05,1.0,0.3,0.5,0.3,0.2
9,4,easy,1,Edge,0.034499999999999996,31.5,0.05,1.0,0.3,0.5,0.3,0.2
10,0,easy,2,Fog,0.046,52.5,0.05,1.0,0.3,0.5,0.3,0.2
10,1,easy,1,Edge,0.034499999999999996,31.5,0.05,1.0,0.3,0.5,0.3,0.2
10,2,easy,2,Fog,0.046,52.5,0.05,1.0,0.3,0.5,0.3,0.2
10,3,easy,2,Fog,0.046,52.5,0.05,1.0,0.3,0.5,0.3,0.2
10,4,easy,2,Fog,0.046,52.5,0.05,1.0,0.3,0.5,0.3,0.2
11,0,medium,2,Fog,0.046,75.0,0.15,1.0,0.3,0.5,0.3,0.2
11,1,medium,1,Edge,0.034499999999999996,45.0,0.15,1.0,0.3,0.5,0.3,0.2
11,2,medium,2,Fog,0.046,75.0,0.15,1.0,0.3,0.5,0.3,0.2
11,3,medium,2,Fog,0.046,75.0,0.15,1.0,0.3,0.5,0.3,0.2
11,4,medium,2,Fog,0.046,75.0,0.15,1.0,0.3,0.5,0.3,0.2
12,0,medium,2,Fog,0.046,75.0,0.15,1.0,0.3,0.5,0.3,0.2
12,1,medium,2,Fog,0.046,75.0,0.15,1.0,0.3,0.5,0.3,0.2
12,2,medium,2,Fog,0.046,75.0,0.15,1.0,0.3,0.5,0.3,0.2
12,3,medium,2,Fog,0.046,75.0,0.15,1.0,0.3,0.5,0.3,0.2
12,4,medium,1,Edge,0.034499999999999996,45.0,0.15,1.0,0.3,0.5,0.3,0.2
13,0,easy,2,Fog,0.046,52.5,0.05,1.0,0.3,0.5,0.3,0.2
13,1,easy,1,Edge,0.034499999999999996,31.5,0.05,1.0,0.3,0.5,0.3,0.2
13,2,easy,4,Reject,0.0115,0.0,0.0,0.0,0.3,0.5,0.3,0.2
13,3,easy,2,Fog,0.046,52.5,0.05,1.0,0.3,0.5,0.3,0.2
13,4,easy,2,Fog,0.046,52.5,0.05,1.0,0.3,0.5,0.3,0.2
14,0,medium,2,Fog,0.046,75.0,0.15,1.0,0.3,0.5,0.3,0.2
14,1,medium,1,Edge,0.034499999999999996,45.0,0.15,1.0,0.3,0.5,0.3,0.2
14,2,medium,1,Edge,0.034499999999999996,45.0,0.15,1.0,0.3,0.5,0.3,0.2
14,3,medium,2,Fog,0.046,75.0,0.15,1.0,0.3,0.5,0.3,0.2
14,4,medium,1,Edge,0.034499999999999996,45.0,0.15,1.0,0.3,0.5,0.3,0.2
15,0,hard,0,Local,0.057499999999999996,15.0,0.44999999999999996,1.0,0.3,0.5,0.3,0.2
15,1,hard,2,Fog,0.046,112.5,0.3,1.0,0.3,0.5,0.3,0.2
15,2,hard,2,Fog,0.046,112.5,0.3,1.0,0.3,0.5,0.3,0.2
15,3,hard,2,Fog,0.046,112.5,0.3,1.0,0.3,0.5,0.3,0.2
15,4,hard,2,Fog,0.046,112.5,0.3,1.0,0.3,0.5,0.3,0.2
16,0,hard,0,Local,0.057499999999999996,15.0,0.44999999999999996,1.0,0.3,0.5,0.3,0.2
16,1,hard,1,Edge,0.034499999999999996,67.5,0.3,1.0,0.3,0.5,0.3,0.2
16,2,hard,2,Fog,0.046,112.5,0.3,1.0,0.3,0.5,0.3,0.2
16,3,hard,2,Fog,0.046,112.5,0.3,1.0,0.3,0.5,0.3,0.2
