episode,stage,avg_reward,agent_0_reward,agent_1_reward,actor_loss,critic_loss,reward_ma,reward_std
1,easy,-17.67053385046597,-17.67053385046597,-17.67053385046597,0.0,0.0,,
2,easy,-14.726969031926904,-14.726969031926904,-14.726969031926904,0.0,0.0,,
3,easy,-25.271961082615636,-25.271961082615636,-25.271961082615636,0.0,0.0,,
4,easy,-11.493566888676293,-11.493566888676293,-11.493566888676293,0.0,0.0,,
5,easy,-20.85260123747822,-20.85260123747822,-20.85260123747822,0.0,0.0,,
6,easy,-26.783288113092787,-26.783288113092787,-26.783288113092787,0.7361209988594055,0.025390369817614555,,
7,easy,-11.643976257889712,-11.643976257889712,-11.643976257889712,0.8578610122203827,0.009595487266778946,,
8,easy,-27.31681943472311,-27.31681943472311,-27.31681943472311,0.9640226364135742,0.003805723739787936,,
9,easy,-17.766157612947474,-17.766157612947474,-17.766157612947474,1.0977442264556885,0.00929513992741704,,
10,easy,-17.393559878380376,-17.393559878380376,-17.393559878380376,1.098268747329712,0.013213445898145437,,
11,easy,-29.535483000729673,-29.535483000729673,-29.535483000729673,1.229390025138855,0.015617982018738985,,
12,easy,-15.200084966898883,-15.200084966898883,-15.200084966898883,1.26971834897995,0.01451155124232173,,
13,easy,-19.033624804408262,-19.033624804408262,-19.033624804408262,1.2957148551940918,0.02233344130218029,,
14,easy,-24.844364898943496,-24.844364898943496,-24.844364898943496,1.3940907716751099,0.01314837345853448,,
15,easy,-16.104072546845277,-16.104072546845277,-16.104072546845277,1.450089931488037,0.022543801926076412,,
16,easy,-18.479808145103377,-18.479808145103377,-18.479808145103377,1.474004089832306,0.025703036226332188,,
17,easy,-18.847126796700135,-18.847126796700135,-18.847126796700135,1.472800374031067,0.01865624077618122,,
18,easy,-22.313881276685645,-22.313881276685645,-22.313881276685645,1.4992033243179321,0.05628246068954468,,
19,easy,-38.632927234000036,-38.632927234000036,-38.632927234000036,1.730497419834137,0.07621123269200325,,
20,easy,-21.55273913180284,-21.55273913180284,-21.55273913180284,1.6209737062454224,0.08885401114821434,,
21,easy,-15.785355970498957,-15.785355970498957,-15.785355970498957,1.6747894883155823,0.06560912542045116,,
22,easy,-22.49624275342891,-22.49624275342891,-22.49624275342891,1.8050005435943604,0.05400417372584343,,
23,easy,-13.251300107715341,-13.251300107715341,-13.251300107715341,1.6993657350540161,0.05427907407283783,,
24,easy,-12.780640830843724,-12.780640830843724,-12.780640830843724,1.760109305381775,0.021613572724163532,,
25,easy,-14.78051949542346,-14.78051949542346,-14.78051949542346,1.831151008605957,0.03924362547695637,,
26,easy,-23.12251754346609,-23.12251754346609,-23.12251754346609,1.7892329692840576,0.0586797297000885,,
27,easy,-18.731976247834385,-18.731976247834385,-18.731976247834385,1.8399240374565125,0.033621035516262054,,
28,easy,-12.20620601692558,-12.20620601692558,-12.20620601692558,1.9012556076049805,0.05409847944974899,,
